label,text,target
ham,where did you leave the spare car keys? i can't find them on the counter. thanks!,0
spam,free entry in 2 a weekly competition to win £1000 cash. text win to 82122 to enter now!,1
ham,"i'll be there in about 15 minutes, traffic is a bit slow today. :)",0
ham,"running a bit late, start eating without me. be there around 7:30! :)",0
ham,let me know when you're free for a quick phone call to discuss the travel plans.,0
ham,did you finish the python assignment? let's compare our answers tonight. thanks!,0
spam,hot singles in your area want to chat with you right now! reply chat to 69696 to connect.,1
ham,could you review my pull request on github when you have a moment?,0
ham,let me know when you're free for a quick phone call to discuss the travel plans. :),0
ham,thanks for the lecture notes! they were super helpful for the exam prep. :),0
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right.,0
ham,where did you leave the spare car keys? i can't find them on the counter. :),0
spam,free entry in 2 a weekly competition to win £1000 cash. text win to 82122 to enter now!,1
spam,"alert: unusual sign-in attempt detected on your paypal account. if this was not you, visit http://paypal-verify.com. ref: #9915",1
ham,can you send me the link to that recipe you made last week? it was delicious. :),0
ham,let me know when you're free for a quick phone call to discuss the travel plans. :),0
ham,did you finish the python assignment? let's compare our answers tonight. :),0
ham,"i'm feeling much better today, thanks for checking in on me! :)",0
ham,let me know when you're free for a quick phone call to discuss the travel plans. :),0
spam,free ringtone! reply yes to 80082 to get polyphonic ringtones directly to your phone. 1.50gbp/week.,1
spam,"urgent! your mobile number was awarded a £2,000 bonus prize! call 09061701461 immediately to claim.",1
spam,win a £500 shopping spree at tesco! to enter simply answer our quick 2-question survey: http://tesco-win.me ref: #4531,1
ham,"hey, are we still meeting for lunch at 1pm tomorrow? :)",0
ham,"running a bit late, start eating without me. be there around 7:30!",0
ham,"i'll be there in about 15 minutes, traffic is a bit slow today. :)",0
spam,claim your complimentary 2-week gym pass at fitnessfirst today! text fit to 88088. ref: #7469,1
ham,don't forget we have the project standup meeting at 10am tomorrow morning. :),0
spam,private! your 2004 account for 07781482378 has 800 points. call 0871-872-9758 to claim your reward. ref: #1054,1
ham,"i'm feeling much better today, thanks for checking in on me! :)",0
spam,exclusive offer! 50% discount on luxury watches. visit our website http://swiss-replica.co today only!,1
ham,"great job on the presentation today, the client was really impressed with our slides! thanks!",0
spam,claim your complimentary 2-week gym pass at fitnessfirst today! text fit to 88088.,1
ham,did you finish the python assignment? let's compare our answers tonight.,0
ham,can you please pick up some milk and eggs on your way home from work?,0
ham,thanks for the lecture notes! they were super helpful for the exam prep.,0
ham,happy birthday! wishing you a fantastic year ahead filled with joy and success! :),0
ham,sounds good! let's book the tickets for the 7pm movie screening. :),0
ham,don't forget we have the project standup meeting at 10am tomorrow morning. :),0
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right.,0
ham,where did you leave the spare car keys? i can't find them on the counter. :),0
ham,did you finish the python assignment? let's compare our answers tonight.,0
ham,thanks for the lecture notes! they were super helpful for the exam prep.,0
ham,where did you leave the spare car keys? i can't find them on the counter.,0
ham,"i'll be there in about 15 minutes, traffic is a bit slow today.",0
ham,thanks for the lecture notes! they were super helpful for the exam prep. thanks!,0
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right.,0
ham,let me know when you're free for a quick phone call to discuss the travel plans.,0
ham,"running a bit late, start eating without me. be there around 7:30! :)",0
ham,did you finish the python assignment? let's compare our answers tonight. :),0
spam,hot singles in your area want to chat with you right now! reply chat to 69696 to connect.,1
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right. thanks!,0
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right. :),0
ham,"hey, are we still meeting for lunch at 1pm tomorrow? :)",0
ham,did you finish the python assignment? let's compare our answers tonight.,0
ham,let me know when you're free for a quick phone call to discuss the travel plans. thanks!,0
ham,where did you leave the spare car keys? i can't find them on the counter. :),0
ham,"running a bit late, start eating without me. be there around 7:30!",0
ham,"great job on the presentation today, the client was really impressed with our slides! :)",0
ham,"hey, are we still meeting for lunch at 1pm tomorrow? thanks!",0
ham,let me know when you're free for a quick phone call to discuss the travel plans. :),0
spam,winner! as a valued customer you are selected to receive a £1000 cash reward. text claim to 87077. ref: #5971,1
ham,can you send me the link to that recipe you made last week? it was delicious. :),0
ham,could you review my pull request on github when you have a moment? :),0
ham,"just reached the airport, flight is on time. see you soon!",0
spam,loan approved! up to £5000 deposited within 1 hour. no credit checks required! call 08000930705. ref: #7320,1
ham,can you send me the link to that recipe you made last week? it was delicious.,0
ham,"running a bit late, start eating without me. be there around 7:30! thanks!",0
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right.,0
ham,let's catch up this weekend. are you free on saturday afternoon?,0
ham,can you send me the link to that recipe you made last week? it was delicious.,0
ham,"i'm feeling much better today, thanks for checking in on me! :)",0
ham,let's catch up this weekend. are you free on saturday afternoon?,0
ham,"i'll be there in about 15 minutes, traffic is a bit slow today.",0
ham,let's catch up this weekend. are you free on saturday afternoon? :),0
ham,i just sent over the revised budget spreadsheet. please check if the numbers look right. :),0
ham,let's catch up this weekend. are you free on saturday afternoon? :),0
ham,"i'll be there in about 15 minutes, traffic is a bit slow today.",0
ham,let me know when you're free for a quick phone call to discuss the travel plans. :),0
spam,win a £500 shopping spree at tesco! to enter simply answer our quick 2-question survey: http://tesco-win.me ref: #3192,1
ham,happy birthday! wishing you a fantastic year ahead filled with joy and success! :),0
ham,thanks for the lecture notes! they were super helpful for the exam prep. :),0
spam,congratulations! you won a free cruise to the bahamas! call now at 1-800-555-0199. t&cs apply.,1
ham,did you finish the python assignment? let's compare our answers tonight. :),0
ham,"just reached the airport, flight is on time. see you soon!",0
