Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Category,Product,Quantity,Unit_Price,Discount,Cost_Price
ORD1001,2026-06-13,C102,Priya Patel,North,Home & Kitchen,Air Fryer,4,7500,0.05,5000
ORD1002,2026-01-27,C111,Aditya Bhat,North,Sports,Cycling Helmet,1,2200,0.0,1300
ORD1003,2026-01-24,C104,Sneha Kulkarni,South,Sports,Tennis Racket,1,5500,0.2,3600
ORD1004,2026-02-20,C112,Tanvi Saxena,West,Fashion,Cotton Hoodie,5,1800,0.0,1000
ORD1005,2026-02-10,C112,Tanvi Saxena,West,Home & Kitchen,Non-Stick Cookware Set,3,4500,0.05,2800
ORD1006,2026-03-28,C102,Priya Patel,North,Books,Python Masterclass,6,850,0.1,450
ORD1007,2026-06-04,C105,Vikram Singh,North,Books,Machine Learning Design,2,1400,0.15,800
ORD1008,2026-01-21,C109,Siddharth Rao,East,Sports,Dumbbell Set,4,3500,0.0,2200
ORD1009,2026-01-12,C111,Aditya Bhat,South,Home & Kitchen,Espresso Machine,4,18000,0.0,12500
ORD1010,2026-04-08,C105,Vikram Singh,West,Home & Kitchen,Air Fryer,6,7500,0.1,5000
ORD1011,2026-02-23,C111,Aditya Bhat,East,Electronics,4K Monitor,3,28000,0.2,20000
ORD1012,2026-03-04,C103,Aman Verma,West,Books,System Design Interview,4,950,0.1,500
ORD1013,2026-01-15,C104,Sneha Kulkarni,North,Home & Kitchen,Robot Vacuum,5,25000,0.0,17500
ORD1014,2026-02-24,C115,Dev Mishra,East,Fashion,Cotton Hoodie,7,1800,0.15,1000
ORD1015,2026-02-06,C105,Vikram Singh,South,Fashion,Formal Suit,5,12000,0.2,7500
ORD1016,2026-04-20,C115,Dev Mishra,West,Home & Kitchen,Air Fryer,3,7500,0.2,5000
ORD1017,2026-05-07,C102,Priya Patel,North,Electronics,Smartphone X,3,45000,0.15,32000
ORD1018,2026-06-02,C102,Priya Patel,West,Books,Machine Learning Design,8,1400,0.2,800
ORD1019,2026-03-06,C109,Siddharth Rao,North,Electronics,4K Monitor,5,28000,0.1,20000
ORD1020,2026-01-29,C105,Vikram Singh,West,Fashion,Cotton Hoodie,1,1800,0.1,1000
ORD1021,2026-05-09,C113,Yash Agarwal,South,Sports,Treadmill Pro,5,45000,0.2,32000
ORD1022,2026-06-05,C104,Sneha Kulkarni,South,Home & Kitchen,Air Fryer,1,7500,0.2,5000
ORD1023,2026-03-24,C108,Neha Joshi,North,Electronics,Wireless Headphones,5,3500,0.05,2200
ORD1024,2026-01-15,C104,Sneha Kulkarni,North,Electronics,Smart Watch,2,8500,0.2,5500
ORD1025,2026-02-02,C103,Aman Verma,West,Sports,Yoga Mat,5,1200,0.2,600
ORD1026,2026-06-05,C107,Kabir Mehta,South,Sports,Yoga Mat,5,1200,0.15,600
ORD1027,2026-06-21,C111,Aditya Bhat,East,Books,Machine Learning Design,8,1400,0.0,800
ORD1028,2026-03-05,C104,Sneha Kulkarni,North,Home & Kitchen,Espresso Machine,4,18000,0.2,12500
ORD1029,2026-02-26,C101,Rahul Sharma,North,Electronics,Smartphone X,2,45000,0.0,32000
ORD1030,2026-03-26,C102,Priya Patel,South,Home & Kitchen,Robot Vacuum,4,25000,0.2,17500
ORD1031,2026-02-03,C112,Tanvi Saxena,West,Fashion,Cotton Hoodie,7,1800,0.05,1000
ORD1032,2026-01-25,C102,Priya Patel,West,Home & Kitchen,Robot Vacuum,7,25000,0.15,17500
ORD1033,2026-01-14,C111,Aditya Bhat,North,Electronics,Smart Watch,6,8500,0.0,5500
ORD1034,2026-03-05,C104,Sneha Kulkarni,South,Sports,Cycling Helmet,3,2200,0.15,1300
ORD1035,2026-02-16,C105,Vikram Singh,West,Fashion,Leather Jacket,8,4500,0.2,2800
ORD1036,2026-01-26,C101,Rahul Sharma,North,Electronics,Smartphone X,3,45000,0.15,32000
ORD1037,2026-05-05,C108,Neha Joshi,South,Books,Python Masterclass,3,850,0.15,450
ORD1038,2026-01-01,C107,Kabir Mehta,East,Books,System Design Interview,7,950,0.2,500
ORD1039,2026-06-19,C112,Tanvi Saxena,West,Fashion,Running Shoes,5,3200,0.05,1900
ORD1040,2026-01-15,C110,Diya Kapoor,North,Home & Kitchen,Espresso Machine,1,18000,0.2,12500
ORD1041,2026-05-03,C109,Siddharth Rao,South,Electronics,4K Monitor,2,28000,0.05,20000
ORD1042,2026-01-18,C110,Diya Kapoor,North,Fashion,Cotton Hoodie,2,1800,0.2,1000
ORD1043,2026-03-05,C110,Diya Kapoor,North,Sports,Treadmill Pro,7,45000,0.2,32000
ORD1044,2026-05-25,C109,Siddharth Rao,East,Home & Kitchen,Air Fryer,6,7500,0.05,5000
ORD1045,2026-03-09,C107,Kabir Mehta,South,Home & Kitchen,Robot Vacuum,6,25000,0.0,17500
ORD1046,2026-01-03,C108,Neha Joshi,North,Electronics,4K Monitor,4,28000,0.2,20000
ORD1047,2026-03-09,C103,Aman Verma,East,Electronics,Smartphone X,6,45000,0.1,32000
ORD1048,2026-02-10,C108,Neha Joshi,East,Sports,Tennis Racket,1,5500,0.2,3600
ORD1049,2026-03-18,C115,Dev Mishra,North,Fashion,Designer Denim,2,2800,0.0,1500
ORD1050,2026-05-22,C103,Aman Verma,East,Home & Kitchen,Blender,20,250000,0.1,1800
ORD1051,2026-02-22,C111,Aditya Bhat,East,Sports,Cycling Helmet,5,2200,0.0,1300
ORD1052,2026-01-24,C111,Aditya Bhat,West,Home & Kitchen,Espresso Machine,1,18000,0.1,12500
ORD1053,2026-02-03,C111,Aditya Bhat,East,Fashion,Cotton Hoodie,7,1800,0.2,1000
ORD1054,2026-01-03,C102,Priya Patel,North,Fashion,Formal Suit,1,12000,0.1,7500
ORD1055,2026-05-30,C109,Siddharth Rao,South,Books,Data Science Handbook,1,1200,0.1,700
ORD1056,2026-04-04,C115,Dev Mishra,North,Home & Kitchen,Air Fryer,4,7500,0.0,5000
ORD1057,2026-04-01,C113,Yash Agarwal,West,Sports,Yoga Mat,4,1200,0.05,600
ORD1058,2026-02-15,C115,Dev Mishra,West,Electronics,Smartphone X,6,45000,0.15,32000
ORD1059,2026-06-21,C114,Riya Sen,South,Home & Kitchen,Air Fryer,2,7500,0.15,5000
ORD1060,2026-01-10,C114,Riya Sen,West,Fashion,Running Shoes,8,3200,0.1,1900
ORD1061,2026-03-20,C114,Riya Sen,South,Fashion,Leather Jacket,4,4500,0.15,2800
ORD1062,2026-03-26,C105,Vikram Singh,North,Home & Kitchen,Non-Stick Cookware Set,7,4500,0.2,2800
ORD1063,2026-03-26,C101,Rahul Sharma,North,Home & Kitchen,Air Fryer,5,7500,0.0,5000
ORD1064,2026-01-28,C110,Diya Kapoor,West,Home & Kitchen,Non-Stick Cookware Set,7,4500,0.2,2800
ORD1065,2026-05-11,C102,Priya Patel,West,Sports,Yoga Mat,5,1200,0.0,600
ORD1066,2026-04-22,C101,Rahul Sharma,South,Home & Kitchen,Robot Vacuum,2,25000,0.1,17500
ORD1067,2026-06-09,C106,Ananya Roy,North,Home & Kitchen,Blender,5,2800,0.15,1800
ORD1068,2026-03-25,C107,Kabir Mehta,East,Sports,Yoga Mat,4,1200,0.15,600
